Part No,3_Month_Forecast_XGBoost,3_Month_Forecast_SARIMA,3_Month_Forecast_HW
253409110117,6,3,1
270240109948,658,783,898
270240109949,688,783,570
270240109950,479,619,671
270240109951,229,378,286
270240109986,3393,3632,3797
272425000214,7,0,2
278905110109,8,8,12
278905110114,8,9,10
278905116303,7,9,9
278909130106,40,29,47
278918130104,41,33,36
278920100107,8,9,8
278923116302,13,12,26
278923116307,15,18,24
278924100110,18,30,31
278950100154,9,4,8
279018130106,63,75,108
283415209918,13,6,4
283415209919,13,7,4
283442990103,9,3,3
285326307702,13,12,9
287033403103,9,9,10
287042100120,13,15,18
287042103707,9,9,19
287042300159,9,6,9
287046600168,13,19,28
287046600179,14,20,25
287049100141,8,3,3
287088500128,6,0,1
287125009915,8,9,7
287129100233,9,6,6
287129100308,9,9,8
287140100139,49,45,50
287142990261,6,6,4
287147100219,63,75,65
287154509905,53,48,48
287183400110,17,12,9
287183400142,15,12,21
287340100109,103,116,112
288954409920,140,180,242
289529100134,9,3,3
46343767,11,6,10
512332800101,111,120,105
512388500107,18,12,17
541242103702,15,11,10
541242103703,59,95,87
541242990154,92,88,99
541243100102,21,24,33
541247100144,7,0,3
541247100232,6,0,1
541254400115,7,3,1
541254400125,9,5,6
541254400127,6,0,0
541254400150WO,6,3,1
541267100105,9,3,3
541267100106,9,3,9
54127220010135,8,2,3
54127220010235,8,0,0
54127320010135,7,3,4
54127320010235,6,0,2
541283405003,6,3,0
54128810010135,9,3,4
54128810010235,9,3,1
541288500147,8,6,2
541288506307,13,13,12
541288606337,9,9,7
54128870010235,8,3,1
542424100101,28,39,38
542429100128,18,12,15
542432300137,6,2,0
542432300138,6,2,5
542432600105,9,9,12
542432800107,48,33,48
542432800108,45,36,48
542442103701,98,129,144
542442990107,18,39,30
542442990114,10,10,15
542442990150,17,14,22
542454400101,7,3,3
542454400139,9,3,4
542454400140,9,3,7
542454509925,8,14,10
542467100101,10,6,6
54247220012421,7,3,3
54247420012421,6,0,0
542481100120,9,5,3
542481100121,9,5,6
542481100153,8,2,4
542482407701,55,57,58
542483403383,6,0,1
54248810011621,9,7,9
542488506301,9,7,3
542488506303,7,6,1
542488506326,10,16,18
542488506327,9,3,6
542488506331,9,9,12
542488600115,6,3,2
542488606324,6,1,2
542524100102,9,10,6
542554400101,6,3,0
542554400121,8,3,2
54257320010221,7,0,1
542588700113,18,23,23
542733103104,15,21,13
542742990106,6,1,2
542742990152,59,54,36
542742990164,15,13,10
542754209910,7,6,14
542754400123,17,14,16
542754459901,33,30,41
543816212401,7,3,5
543824100114,44,55,37
543832100111,10,15,13
543832100112,9,3,4
543840103813,6,4,4
543842103701,70,54,41
543842990107,57,54,56
543849200137,6,1,1
543854400132,9,3,2
543854400158,9,9,19
543854400166,8,6,1
543854400167,11,9,8
543854400168,8,6,1
543854900101,6,3,0
54386370820130,6,3,2
54386370820230,11,6,3
543867100101,14,12,10
543867100104,13,12,12
543867800102,9,3,3
54387220010130,9,3,6
543872300107,10,6,10
54387320010230,9,3,5
543881100119,9,3,5
543881100120,7,6,5
543882400136,12,8,10
543882400156,111,103,103
543883200104C7,12,12,13
543883200107C7,13,15,14
543883403601,119,43,12
543883403602,34,86,63
543883403801,6,1,1
54388810010230,7,9,2
543888100140,13,17,16
543888100141,15,12,17
54388810014330,15,15,25
54388810014430,17,20,20
543888506315,11,9,8
543888506374,15,12,10
543888506376,14,12,16
543888506378B8,10,12,18
543888516304,26,23,27
543888600122,6,0,3
543888606354,18,18,15
54388870010230,7,3,2
54388870012830,12,15,17
544215400102,8,3,3
544232800112,45,51,44
544232800113,46,53,47
544240103806,8,3,3
544242990112,77,90,87
544242990124,26,18,21
544254400109,17,14,16
544254400110,9,3,7
544254400193,9,3,7
54426000CL100130,13,5,8
54426000CL200130,9,3,4
54426000CL300130,9,6,9
54426000CL400130,12,6,6
54426000CL600130,9,2,3
54426000CL700130,8,1,6
54426000CL800130,10,3,3
54426370820130,7,4,3
54426370820230,9,3,5
544267100101,9,6,6
544267100102,9,6,7
544281100131CE,9,6,7
544282400122,28,28,34
544283400197,11,6,8
544288110101,11,3,6
544288506302,24,24,29
544288506304,18,14,17
544288606301,12,9,12
544516261205,7,1,3
544554420103,9,3,4
544554420104,9,3,2
544554420109,9,3,4
54456000CL100130,9,2,4
54456000CL200230,10,3,5
544567100101,7,4,6
544572557702,7,9,10
544588500105,10,3,7
544588506301,18,14,19
544588506310,18,18,21
544588606301,12,9,7
544632300144,9,5,5
544632600101,7,6,7
544632600103,8,9,6
544640100115,6,0,1
544642990116,7,3,4
544642990137,18,16,15
54467420010235,8,3,3
