,Part No,ABC_Class,xyz_class,FSN_Category,Combined_Segment,Part Desc,Category,liquid_flag
1,8855AXLT0032,A,X,F,AFX,679S ULTRA PRODDUCTIVE CLEAR(5L),Nano Spares,1
2,541242990154,A,X,F,AFX,KIT-PAD ASSY,Spare Part,0
3,8855AXLT0072,A,X,F,AFX,AB150 BASE COAT BINDER(4L),Nano Spares,1
4,270240109986,A,X,F,AFX,ADHESIVE WEIGHT STRIP WITH ACRYLIC TAPE,Spare Part,0
5,584227000102,A,Z,F,AFZ,DUAL CLUTCH TRANSMISSION ASSY,Spare Part,0
6,541242103703,A,Y,F,AFY,"BRAKE DISC,VENTILATED,FRONT",Spare Part,0
7,543842990107,A,X,F,AFX,KIT-PAD,Spare Part,0
8,543888516304,A,Y,F,AFY,FRONT BUMPER SKIN,Spare Part,0
9,885554388201,A,X,F,AFX,Nexon Wiper blade Kit (XZ+),Spare Part,0
10,8855AXLT0002,A,X,F,AFX,256S FAST ACTIVATOR(1L),Nano Spares,1
11,8855DEFS0002B,A,Y,F,AFY,TATA GENUINE D.E.F (5LX4),Nano Spares,1
13,8855WORK0001,A,X,F,AFX,WINDSHIELD ADHESIVE GLASS SEALENT - SUMA,Spare Part,0
14,571518130101,A,X,F,AFX,OIL FILTER ASSY,Spare Part,0
17,8855DEFS0003B,A,Y,F,AFY,TATA GENUINE D.E.F (10LX1),Nano Spares,1
18,K68261782AA,A,Z,F,AFZ,FLYWHEEL ENGINE_H5,Spare Part,0
19,544642990137,A,Y,F,AFY,KIT-PAD,Spare Part,0
20,543854400158,A,Y,F,AFY,"HEADLAMP ASSY WITH CELAR LENS,LH",Spare Part,0
21,542442103701,A,X,F,AFX,"BRAKE DISC,FRONT 235 MM OD X 20 THK",Spare Part,0
22,885554120003,A,Z,F,AFZ,Serv Sch KIT 30/60/90K SAF/HAR (NONAQI),Spare Part,0
23,8855RAKA0001,A,X,F,AFX,SUNROOF GREASE (MULTEMP 2C194) KG 0.10 X,Nano Spares,0
24,572909119903,A,Z,F,AFZ,FUEL FILTER ELEMENT ASSY,Spare Part,0
25,543842103701,A,X,F,AFX,"BRAKE DISC,FRONT-274MM OD 22MM THICK",Spare Part,0
26,584227000105,A,Z,F,AFZ,DUAL CLUTCH TRANSMISSION,Spare Part,0
27,8855AXLT0068,A,X,F,AFX,AB385 HI TEMP THINNER(5L),Nano Spares,1
28,571515189905,A,Y,F,AFY,SPARK PLUG,Spare Part,0
29,544242990112,A,Y,F,AFY,KIT-PAD ASSY,Spare Part,0
31,54388870012830,A,Y,F,AFY,CED HOOD ASSEMBLY NEXON MCE,Spare Part,0
32,543867100101,A,Y,F,AFY,WINDSCREEN GLASS ASSY,Spare Part,0
33,885558250102N,A,X,F,AFX,TIAGO / TIGOR Petrol Clutch Kit,Spare Part,0
34,287183400110,A,Y,F,AFY,ASSY CONDENSER SDE ENG BEHR,Spare Part,0
35,885554387403,A,Y,F,AFY,KIT TAILGATE ASSY SHELL WITH WIPER,Spare Part,0
36,8855WORK0112,A,X,F,AFX,SEAT PROTECTION COVER SET (WORKSHOP),Spare Part,0
37,544288506302,A,X,F,AFX,FRONT BUMPER SKIN,Spare Part,0
38,885557240501,A,Y,F,AFY,Nexon Diesel Timing belt Kit,Spare Part,0
39,885554122501,A,Y,F,AFY,CLUTCH KIT_HARRIER,Spare Part,0
40,287042100120,A,X,F,AFX,KIT PAD ASSEMBLY ( WITH SHIM) PER VEHICL,Spare Part,0
41,885554120003C,A,Z,F,AFZ,SERV SCH KIT 30/60/90K HAR/SAF(BS6)(AQI),Spare Part,0
42,8855EXID0018,A,Z,F,AFZ,EXIDE EEZY (47AH) EYDIN47RMFEFB,Nano Spares,0
43,885554120002C,A,Z,F,AFZ,SERV SCH KIT 15/45/75K HAR/SAF(BS6)(AQI),Spare Part,0
44,512388500107,A,Y,F,AFY,BOTTOM GRILL ASSY,Spare Part,0
45,571550100142,A,Y,F,AFY,RADIATOR ASSY,Spare Part,0
47,543867100104,A,Y,F,AFY,WINDSCREEN ASSY SENSORS OPTION,Spare Part,0
48,K68103969AA,A,Y,F,AFY,FILTERING ELEMENT_H5,Spare Part,0
49,8855AXLT0083,A,X,F,AFX,AM01 WHITE HS (4L),Nano Spares,1
50,543883403601,A,Y,F,AFY,POLLEN FILTER,Spare Part,0
51,541288506307,A,Y,F,AFY,FRONT BUMPER W/O ULTRASONIC SENSOR,Spare Part,0
52,543888606354,A,Y,F,AFY,REAR BUMPER SKIN,Spare Part,0
54,542442990107,A,X,F,AFX,KIT-PAD,Spare Part,0
56,54426000CL100130,A,Y,F,AFY,CED BONNET ASSY,Spare Part,0
57,287042300159,A,Y,F,AFY,KIT PAD ASSEMBLY REAR CALIPER (C48),Spare Part,0
58,8855AXLT0074,A,X,F,AFX,AF101 2K BINDER (4L),Nano Spares,1
59,8855COOL210,A,Z,F,AFZ,COOLANT PREMIX (40:60) (210L),Nano Spares,1
60,542742990152,A,X,F,AFX,KIT-SHOE ASSY,Spare Part,0
